ID,RNA_CoExp_w_GenAge
ACHB4_HUMAN,5
ACHB_HUMAN,18
ACHD_HUMAN,11
ACHE_HUMAN,7
ACHG_HUMAN,4
ACINU_HUMAN,16
ACK1_HUMAN,37
ACKR1_HUMAN,
ACKR2_HUMAN,10
ACKR3_HUMAN,49
ACKR4_HUMAN,22
ACL10_HUMAN,3
ACL6A_HUMAN,63
ACL6B_HUMAN,14
ACL7A_HUMAN,8
ACL7B_HUMAN,9
ACLY_HUMAN,61
ACM1_HUMAN,15
ACM2_HUMAN,26
ACM3_HUMAN,8
ACM4_HUMAN,5
ACM5_HUMAN,1
ACMSD_HUMAN,23
ACO11_HUMAN,7
ACO12_HUMAN,11
ACO13_HUMAN,28
ACO15_HUMAN,9
ACOC_HUMAN,61
ACOD_HUMAN,37
ACON_HUMAN,47
ACOT1_HUMAN,44
ACOT2_HUMAN,43
ACOT4_HUMAN,24
ACOT6_HUMAN,5
ACOT8_HUMAN,37
ACOT9_HUMAN,26
ACOX1_HUMAN,40
ACOX2_HUMAN,40
ACOX3_HUMAN,18
ACOXL_HUMAN,2
ACP7_HUMAN,
ACPH_HUMAN,65
ACPM_HUMAN,40
ACRBP_HUMAN,7
ACRC_HUMAN,3
ACRO_HUMAN,0
ACS2A_HUMAN,23
ACS2B_HUMAN,23
ACS2L_HUMAN,21
ACSA_HUMAN,44
ACSF2_HUMAN,48
ACSF3_HUMAN,15
ACSF4_HUMAN,36
ACSL1_HUMAN,46
ACSL3_HUMAN,21
ACSL4_HUMAN,41
ACSL5_HUMAN,29
ACSL6_HUMAN,12
ACSM1_HUMAN,0
ACSM3_HUMAN,18
ACSM4_HUMAN,10
ACSM5_HUMAN,30
ACSM6_HUMAN,
ACSS3_HUMAN,50
ACTA_HUMAN,32
ACTBL_HUMAN,2
ACTBM_HUMAN,3
ACTB_HUMAN,63
ACTC_HUMAN,24
ACTG_HUMAN,
ACTHR_HUMAN,18
ACTH_HUMAN,23
ACTL8_HUMAN,23
ACTL9_HUMAN,0
ACTN1_HUMAN,49
ACTN2_HUMAN,25
ACTN3_HUMAN,9
ACTN4_HUMAN,63
ACTS_HUMAN,19
ACTT1_HUMAN,
ACTT2_HUMAN,
ACTT3_HUMAN,1
ACTY_HUMAN,58
ACTZ_HUMAN,53
ACV1B_HUMAN,31
ACV1C_HUMAN,37
ACVL1_HUMAN,42
ACVR1_HUMAN,51
ACY1_HUMAN,10
ACY2_HUMAN,21
ACY3_HUMAN,18
ACYP1_HUMAN,32
